Spiel 77 ;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2007;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;Gewinnzahl;;;;;;End-;Spieleinsatz;              Klasse I;;Jackpot;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;Klasse VII;;;;
KW;2007;Ziehung;;;;;;;ziffer;;        ab 170.000,00 Euro;;Euro;70.000,00 Euro;7.000,00 Euro;700,00 Euro;70,00 Euro;7,00 Euro;2,50 Euro;;;;
;;;;;;;;;;Euro;Gewinne;Euro;;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;
;24.11.;SA;0;1;6;4;4;0;5;19.346.794,50   ;JP;;1.377.751,60   ;16  x   ;103  x   ;1.126  x   ;11.192  x   ;112.356  x   ;1.298.730  x   ;;;;
48.;28.11.;MI;9;0;7;0;2;7;5;15.248.980,50   ;1  x   ;2.370.000,00   ;24.858,60   ;6  x   ;94  x   ;1.009  x   ;9.975  x   ;98.321  x   ;973.353  x   ;;;;
;01.12.;SA;5;3;9;7;1;7;8;28.369.783,50   ;2  x   ;870.000,00   ;177.123,20   ;19  x   ;202  x   ;1.834  x   ;19.018  x   ;186.842  x   ;1.848.071  x   ;;;;
49.;05.12.;MI;1;9;6;2;3;8;7;24.544.129,50   ;JP;;1.814.216,60   ;15  x   ;168  x   ;1.625  x   ;15.637  x   ;156.064  x   ;1.590.979  x   ;;;;
;08.12.;SA;6;9;7;6;2;1;0;17.486.991,00   ;1  x   ;2.970.000,00   ;10.598,90   ;8  x   ;77  x   ;820  x   ;8.308  x   ;81.819  x   ;837.950  x   ;;;;
50.;12.12.;MI;7;5;7;1;7;4;1;6.531.277,50   ;JP;;446.235,10   ;4  x   ;40  x   ;361  x   ;3.484  x   ;34.625  x   ;355.630  x   ;;;;
;15.12.;SA;5;1;4;1;5;9;1;14.291.670,00   ;JP;;1.399.489,50   ;12  x   ;85  x   ;667  x   ;7.208  x   ;72.001  x   ;764.400  x   ;;;;
51.;19.12.;MI;3;4;2;4;7;7;5;5.891.512,50   ;JP;;1.792.453,40   ;4  x   ;48  x   ;395  x   ;3.850  x   ;41.051  x   ;397.598  x   ;;;;
;22.12.;SA;6;4;8;4;5;3;5;13.887.624,00   ;2  x   ;1.270.000,00   ;178.757,90   ;12  x   ;118  x   ;959  x   ;10.245  x   ;99.099  x   ;949.492  x   ;;;;
52.;26.12.;MI;9;5;6;7;5;1;5;5.216.283,00   ;JP;;526.684,00   ;1  x   ;32  x   ;345  x   ;3.371  x   ;33.561  x   ;359.977  x   ;;;;
;29.12.;SA;0;7;6;0;2;6;6;13.117.731,00   ;2  x   ;670.000,00   ;61.636,70   ;7  x   ;82  x   ;811  x   ;8.478  x   ;84.386  x   ;807.196  x   ;;;;
53.;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;Gewinne Gesamt;;;36   ;;;339   ;3.373   ;32.981   ;333.981   ;3.298.501   ;32.992.351   ;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
