LOTTO 6aus49;;;;;;;;;;;;;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Veranstaltung 2010
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;(Öffentliche Ziehung im Deutschen Fernsehen - ARD (Sa), ZDF (Mi))
;;;;;;;;;;;;     Gewinnklasse I;; Gewinnklasse II;;Gewinnklasse III;;Gewinnklasse IV;; Gewinnklasse V;; Gewinnklasse VI;; Gewinnklasse VII;;   Gewinnklasse VIII;
;;;Gewinnzahlen in;;;;;;Zu-;Su-;Spieleinsatz;6 Treffer und Superzahl;;6 Treffer;; 5 Treffer + Zusatzzahl;;5 Treffer;;4 Treffer + Zusatzzahl;;4 Treffer;;3 Treffer + Zusatzzahl ;;3 Treffer;
VA;2010;Ziehung;gezogener Reihenfolge;;;;;;satz-;per-;;Gewinne/;;Gewinne/;;;;;;;;;;;;;
;;;;;;;;;zahl;zahl;Euro;Jackpot;Euro;Jackpot;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro;Gewinne;Euro
;14.08.;SA;43;32;4;14;8;30;18;5;48.932.625,00;JP;3.503.166,10;2  x  ;978.652,50;36  x  ;33.980,90;782  x  ;4.067,20;3.454  x  ;141,6;48.322  x  ;50,6;92.447  x  ;21,1;923.318  x  ;11,6
33.;18.08.;MI;2;16;9;47;14;37;33;8;22.633.201,50;JP;4.634.826,10;JP;905.328,00;19  x  ;29.780,50;403  x  ;3.650,50;1.634  x  ;138,5;24.812  x  ;45,6;39.449  x  ;22,9;449.940  x  ;11
;21.08.;SA;30;26;5;15;22;18;11;4;50.111.853,00;JP;7.140.418,70;4  x  ;727.450,50;40  x  ;31.319,90;1.237  x  ;2.633,20;3.675  x  ;136,3;58.663  x  ;42,7;99.056  x  ;20,2;1.068.367  x  ;10,3
34.;25.08.;MI;49;36;28;44;9;43;4;7;25.155.120,00;JP;8.398.174,70;1  x  ;1.006.204,80;5  x  ;125.775,60;346  x  ;4.725,60;1.120  x  ;224,5;22.171  x  ;56,7;34.921  x  ;28,8;455.393  x  ;12,1
;28.08.;SA;4;35;40;6;22;31;16;7;55.028.979,00;JP;11.149.623,60;3  x  ;733.719,70;29  x  ;47.438,70;897  x  ;3.987,60;3.322  x  ;165,6;57.375  x  ;47,9;94.020  x  ;23,4;1.082.877  x  ;11,1
35.;01.09.;MI;4;11;36;16;29;19;43;9;30.571.227,75;1  x  ;13.901.034,10;unbesetzt;;23  x  ;33.229,50;765  x  ;2.597,50;1.778  x  ;171,9;39.289  x  ;38,9;40.778  x  ;29,9;682.683  x  ;9,8
;04.09.;SA;35;3;25;19;6;48;5;3;49.897.809,75;2  x  ;1.247.445,20;4  x  ;498.978,00;27  x  ;46.201,60;1.541  x  ;2.104,70;3.837  x  ;130;72.605  x  ;34,3;110.364  x  ;18;1.234.001  x  ;8,8
36.;08.09.;MI;13;11;40;32;12;5;22;9;21.554.717,25;JP;1.077.735,80;4  x  ;215.547,10;9  x  ;59.874,20;478  x  ;2.931,00;1.229  x  ;175,3;29.252  x  ;36,8;37.053  x  ;23,2;532.718  x  ;8,9
;11.09.;SA;28;43;48;41;26;39;15;8;48.197.433,00;JP;3.487.607,40;5  x  ;385.579,40;11  x  ;109.539,60;858  x  ;3.651,30;1.768  x  ;272,6;48.198  x  ;49,9;55.345  x  ;34,8;920.867  x  ;11,5
37.;15.09.;MI;41;31;43;29;1;32;25;4;22.734.757,50;JP;4.624.345,20;2  x  ;492.586,40;1  x  ;492.586,40;298  x  ;4.958,90;833  x  ;272,9;20.469  x  ;55,5;30.408  x  ;29,9;411.150  x  ;12,1
;18.09.;SA;4;37;30;29;35;24;15;3;50.348.753,25;JP;7.141.782,80;1  x  ;2.013.950,10;11  x  ;114.428,90;580  x  ;5.642,50;1.775  x  ;283,6;39.423  x  ;63,8;62.125  x  ;32,4;879.543  x  ;12,5
38.;22.09.;MI;2;5;4;17;9;12;11;7;25.348.572,75;1  x  ;8.409.211,40;12  x  ;84.495,20;98  x  ;6.466,40;1.918  x  ;859;4.974  x  ;50,9;56.290  x  ;22,5;79.401  x  ;12,7;772.094  x  ;7,2
;25.09.;SA;2;46;12;4;25;1;22;1;47.590.962,00;1  x  ;2.379.548,10;1  x  ;1.903.638,40;16  x  ;74.360,80;1.164  x  ;2.657,50;3.114  x  ;152,8;67.350  x  ;35,3;84.361  x  ;22,5;1.199.141  x  ;8,7
