Ziehung	Tag	Monat	Jahr	Zahl1	Zahl2	Zahl3	Zahl4	Zahl5	Zahl6	Zusatz	Super	Einsatz(EUR)	Quote GKI(EUR)	Anzahl GKI	Quote GKII(EUR)	Anzahl GKII	Quote GKIII(EUR)	Anzahl GKIII	Quote GKIV(EUR)	Anzahl GKIV	Quote GKV(EUR)	Anzahl GKV	Quote GKVI(EUR)	Anzahl GKVI	Quote GKVII(EUR)	Anzahl GKVII	Quote GKVIII(EUR)	Anzahl GKVIII	Anzahl GKIX	Quote GKIX(EUR)
Sa	20	2	2016	29	31	1	16	30	13	 	6	48210394	4529955,1	1	595078	3	15939,5	56	4949,8	541	236,1	3780	54,6	32682	23,2	76896	12,2	654957	5	633478
Mi	24	2	2016	48	13	5	47	31	23	 	5	21719527	1390049,7	Jackpot	260800,2	3	9314,2	42	4005,4	293	172,8	2263	43,9	17816	18,1	43135	10,3	341725	5	329141
Sa	27	2	2016	15	37	10	49	7	25	 	7	48068835	4466455,1	1	241462,1	7	4204,5	201	1966,9	1289	112,3	7520	32,1	52610	13,7	122826	8,7	873010	5	811132
Mi	2	3	2016	16	40	8	10	17	1	 	9	22120801	1415731,2	Jackpot	822100,4	Jackpot	13701,6	30	4326,8	285	216,2	1901	44	18672	21,8	37627	9,9	369954	5	284733
Sa	5	3	2016	43	10	46	33	7	37	 	3	48483495	4518674,8	Jackpot	2591547,7	1	9513,1	93	3973,3	668	181,3	4879	42	42060	19,3	91426	10,1	781837	5	688866
Mi	9	3	2016	48	32	37	13	46	10	 	7	23455028	6019796,5	1	423817,6	2	7183,3	59	2473,6	514	142,7	2968	36,9	22953	17,4	48604	10,1	375318	5	350008
Sa	12	3	2016	39	49	30	26	20	47	 	4	48034330	3074197,1	Jackpot	603184,7	3	9625,2	94	3330,4	815	221,1	4092	44,6	40507	24,1	75013	11,2	723967	5	569485
Mi	16	3	2016	26	9	29	35	11	46	 	6	22383851	4506763,5	Jackpot	408269,7	2	7290,5	56	3678,1	333	169,4	2409	42,9	18992	19,2	42490	10,4	350129	5	318793
Sa	19	3	2016	37	4	15	49	44	10	 	5	48170345	7589665,5	Jackpot	878147,7	2	12196,4	72	5739,5	459	216,4	4057	55,3	31710	21,6	81208	12,5	631074	5	687863
Mi	23	3	2016	44	16	31	22	10	9	 	0	23698638	9106378,3	1	450664,8	2	14537,5	31	3964,7	341	278,8	1616	45,2	19907	26,3	34215	10,3	391762	5	263862
