SUPER 6;;;;;;;;;;;;;;;Gewinnzahlen und Quoten der 1. - 26. Kalenderwoche 2013;;;;;;;;;;;;;
Alle Zahlenangaben ohne Gewähr;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;Klasse I;Klasse II;Klasse III;Klasse IV;Klasse V;Klasse VI;;;;;;;;;;;;;
KW;2013;Ziehung;Gewinnzahl;;;;;End-;Spieleinsatz;100.000,00 Euro;6.666,00 Euro;666,00 Euro;66,00 Euro;6,00 Euro;2,50 Euro;;;;;;;;;;;;;
;;;;;;;;ziffer;Euro;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;Gewinne;;;;;;;;;;;;;
;17.08.;SA;1;8;7;2;2;7;5.630.883,75   ;10  x   ;60  x   ;536  x   ;5.000  x   ;51.061  x   ;501.840  x   ;;;;;;;;;;;;;
34.;21.08.;MI;5;6;2;6;8;7;2.628.318,75   ;3  x   ;19  x   ;258  x   ;2.291  x   ;21.505  x   ;234.690  x   ;;;;;;;;;;;;;
;24.08.;SA;9;6;5;2;6;9;5.939.350,00   ;4  x   ;42  x   ;462  x   ;4.327  x   ;43.690  x   ;388.685  x   ;;;;;;;;;;;;;
35.;28.08.;MI;2;0;6;1;9;8;2.820.683,75   ;3  x   ;20  x   ;201  x   ;2.041  x   ;20.058  x   ;221.447  x   ;;;;;;;;;;;;;
;31.08.;SA;3;1;3;9;1;8;6.459.637,50   ;4  x   ;59  x   ;526  x   ;4.822  x   ;49.719  x   ;524.037  x   ;;;;;;;;;;;;;
36.;04.09.;MI;3;9;6;9;0;0;3.272.315,00   ;2  x   ;20  x   ;196  x   ;2.002  x   ;21.294  x   ;180.351  x   ;;;;;;;;;;;;;
;07.09.;SA;6;5;3;7;9;7;6.864.561,25   ;7  x   ;55  x   ;543  x   ;5.585  x   ;55.016  x   ;606.905  x   ;;;;;;;;;;;;;
37.;11.09.;MI;6;8;5;2;0;2;2.491.022,50   ;unbesetzt;15  x   ;140  x   ;1.401  x   ;14.181  x   ;166.378  x   ;;;;;;;;;;;;;
;14.09.;SA;7;7;8;4;3;9;5.817.450,00   ;4  x   ;30  x   ;397  x   ;3.983  x   ;38.728  x   ;387.826  x   ;;;;;;;;;;;;;
38.;18.09.;MI;5;1;0;3;5;8;2.364.636,25   ;unbesetzt;18  x   ;168  x   ;1.935  x   ;19.586  x   ;183.943  x   ;;;;;;;;;;;;;
;21.09.;SA;9;7;4;7;9;1;5.601.755,00   ;4  x   ;33  x   ;338  x   ;3.323  x   ;32.262  x   ;342.450  x   ;;;;;;;;;;;;;
39.;25.09.;MI;2;4;8;3;2;2;2.444.670,00   ;4  x   ;16  x   ;174  x   ;1.718  x   ;17.069  x   ;160.216  x   ;;;;;;;;;;;;;
;28.09.;SA;4;8;5;4;1;8;5.790.377,50   ;6  x   ;42  x   ;479  x   ;4.524  x   ;44.823  x   ;475.895  x   ;;;;;;;;;;;;;
40.;02.10.;MI;9;4;5;8;9;2;2.765.602,50   ;2  x   ;19  x   ;153  x   ;1.745  x   ;17.311  x   ;184.983  x   ;;;;;;;;;;;;;
;05.10.;SA;1;5;0;5;7;9;5.927.807,50   ;5  x   ;50  x   ;399  x   ;4.150  x   ;41.228  x   ;402.287  x   ;;;;;;;;;;;;;
41.;09.10.;MI;3;3;0;7;7;3;2.912.353,75   ;1  x   ;22  x   ;220  x   ;2.327  x   ;22.992  x   ;224.843  x   ;;;;;;;;;;;;;
