     Datum; ;        Gewinnzahlen;ZZ;S;Spiel77;Super6;  Spieleinsatz;Anz. Kl. 1;  Quote Kl. 1;Anz. Kl. 2;  Quote Kl. 2;Anz. Kl. 3;  Quote Kl. 3;Anz. Kl. 4;  Quote Kl. 4;Anz. Kl. 5;  Quote Kl. 5;Anz. Kl. 6;  Quote Kl. 6;Anz. Kl. 7;  Quote Kl. 7;Anz. Kl. 8;  Quote Kl. 8;Anz. Kl. 9;  Quote Kl. 9
22.04.1957; ;35;44;11;39;27;45;--;13; ;       ;      ; 14.905.046,00;         5;   372.626,00;        --;           --;       214;     8.706,00;    18.503;       100,50;   401.921;         4,60;          ;             ;          ;             ;          ;             ;          ;             
28.04.1957; ;18;43;23;37;20;33;--;42; ;       ;      ; 15.142.234,50;         1;   500.000,00;         8;   177.984,00;       479;     3.886,50;    31.467;        60,00;   558.682;         3,30;          ;             ;          ;             ;          ;             ;          ;             
05.05.1957; ;31;41; 4; 2;27;22;--;38; ;       ;      ; 15.459.423,50;         2;   500.000,00;        --;           --;       313;     9.152,50;    21.624;        89,00;   473.691;         4,00;          ;             ;          ;             ;          ;             ;          ;             
12.05.1957; ;15;21;31;17;24;40;--; 8; ;       ;      ; 15.637.003,00;         3;   500.000,00;        15;    34.330,00;       471;     4.021,50;    25.413;        76,50;   514.680;         3,80;          ;             ;          ;             ;          ;             ;          ;             
19.05.1957; ;28;16;44;30;20;29;--; 4; ;       ;      ; 15.536.266,00;         4;   485.508,00;        --;           --;       220;     8.827,00;    19.012;       102,00;   430.237;         4,50;          ;             ;          ;             ;          ;             ;          ;             
26.05.1957; ;24;35; 3;45;40; 1;--;42; ;       ;      ; 15.701.969,00;         1;   500.000,00;         1;   500.000,00;       250;    11.701,50;    17.496;       112,00;   395.375;         4,90;          ;             ;          ;             ;          ;             ;          ;             
02.06.1957; ; 4;32;37;14; 3;29;--; 5; ;       ;      ; 15.254.433,50;         5;   381.360,50;        --;           --;       314;     6.072,50;    26.306;        72,00;   511.295;         3,70;          ;             ;          ;             ;          ;             ;          ;             
10.06.1957; ; 7;47; 1;32; 8;35;--; 3; ;       ;      ; 15.403.985,50;         9;   213.944,00;        --;           --;       450;     4.278,50;    19.088;       100,50;   443.984;         4,30;          ;             ;          ;             ;          ;             ;          ;             
16.06.1957; ;21;38;14;44;34;30;--;25; ;       ;      ; 14.723.132,50;         5;   368.078,00;        --;           --;       346;     5.319,00;    19.855;        92,50;   400.348;         4,50;          ;             ;          ;             ;          ;             ;          ;             
23.06.1957; ;10;12;19; 4;25; 8;--;13; ;       ;      ; 14.295.989,50;        12;   148.916,50;        --;           --;     1.536;     1.163,00;    59.554;        30,00;   797.189;         2,20;          ;             ;          ;             ;          ;             ;          ;             
30.06.1957; ;23;31;15;36;37;46;--;24; ;       ;      ; 15.434.401,00;         1;   500.000,00;         9;   164.323,00;       341;     5.512,00;    23.347;        82,50;   480.103;         4,00;          ;             ;          ;             ;          ;             ;          ;             
07.07.1957; ;26;11; 5;22; 6;14;--;46; ;       ;      ; 14.607.508,00;         3;   500.000,00;         8;    42.674,50;       937;     1.932,00;    46.458;        39,30;   719.279;         2,50;          ;             ;          ;             ;          ;             ;          ;             
14.07.1957; ;41;44;40;34;28;30;--;26; ;       ;      ; 15.380.838,00;         5;   384.520,50;        --;           --;       236;     8.146,50;    15.304;       125,50;   345.164;         5,50;          ;             ;          ;             ;          ;             ;          ;             
21.07.1957; ;42; 1; 2;23;44; 3;--;47; ;       ;      ; 15.574.082,00;         8;   243.345,00;        --;           --;       234;     8.319,00;    16.375;       118,50;   407.302;         4,70;          ;             ;          ;             ;          ;             ;          ;             
28.07.1957; ; 9;25;34;20; 1;27;--;48; ;       ;      ; 15.613.635,00;         9;   216.856,00;        --;           --;       299;     6.527,00;    23.667;        82,00;   521.852;         3,70;          ;             ;          ;             ;          ;             ;          ;             
04.08.1957; ;48;17;42; 8;43; 6;--;49; ;       ;      ; 15.447.407,00;         4;   482.731,45;        --;           --;       256;     7.542,65;    19.008;       101,55;   463.135;         4,15;          ;             ;          ;             ;          ;             ;          ;             
11.08.1957; ;13;39;29;33;36;26;--;22; ;       ;      ; 14.674.347,50;         6;   305.715,55;        --;           --;       747;     2.455,50;    37.314;        49,15;   581.195;         3,15;          ;             ;          ;             ;          ;             ;          ;             
18.08.1957; ; 3;40;48; 8;41;14;--;43; ;       ;      ; 15.085.079,50;         2;   500.000,00;        --;           --;       216;    12.829,95;    17.647;       106,85;   427.074;         4,40;          ;             ;          ;             ;          ;             ;          ;             
25.08.1957; ;36;31;24;30;42;38;--;10; ;       ;      ; 15.088.673,50;         1;   500.000,00;         1;   500.000,00;       270;    10.267,25;    21.262;        88,70;   439.365;         4,25;          ;             ;          ;             ;          ;             ;          ;             
